matricula,nome,hash_documento,data_nascimento,genero,raca_cor,escolaridade,estado_civil,num_dependentes,uf,cidade,distancia_km,data_admissao,data_desligamento,tipo_desligamento,motivo_desligamento,status
100139,Natália Ferreira,f3a6dd4e63931b11,1994-10-27,Feminino,Branca,Superior Completo,Solteiro(a),0,SP,São Paulo,7.8,2019-06-01,2022-03-01,Voluntário,Pedido de demissão - proposta externa,Desligado
100140,Otávio Lima,9ab33ecaeffbc1aa,1979-04-27,Masculino,Branca,Pós-graduação,Solteiro(a),1,RS,Porto Alegre,32.2,2020-06-01,,,,Ativo
100141,Sabrina Carvalho,9c817e7d279ceab7,1994-08-09,Feminino,Branca,Ensino Médio,Casado(a),1,BA,Salvador,19.7,2018-02-01,,,,Ativo
100142,Gustavo Pereira,818b1e83b9ddf4cd,1985-10-19,Masculino,Branca,Superior Completo,Casado(a),1,SP,São Paulo,8.4,2018-03-01,2022-02-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100143,Leonardo Queiroz,f62caa08e441436a,1988-04-11,Masculino,Branca,Superior Incompleto,Solteiro(a),2,SP,São Paulo,12.1,2017-02-01,,,,Ativo
100144,Vanessa Queiroz,560ee895c6a05e57,1986-06-11,Feminino,Branca,Superior Completo,Solteiro(a),0,SP,Campinas,14.5,2018-04-01,,,,Ativo
100145,Fernanda Rodrigues,5fb15611f049c65d,1992-05-14,Feminino,Branca,Pós-graduação,Solteiro(a),1,SP,São Paulo,18.3,2018-09-01,2024-02-01,Voluntário,Pedido de demissão - proposta externa,Desligado
100146,João Gomes,89b9ff49c00ed4f9,1977-07-27,Masculino,Branca,Pós-graduação,Casado(a),0,RS,Porto Alegre,62.3,2020-03-01,2021-07-01,Voluntário,Pedido de demissão - remuneração,Desligado
100147,Mariana Pereira,d1b7c80e5d153fbc,1976-03-16,Feminino,Indígena,Superior Incompleto,Solteiro(a),0,PR,Curitiba,2.2,2009-10-01,,,,Ativo
100148,Juliana Gomes,30681e268f272944,1991-05-28,Feminino,Parda,Superior Incompleto,Solteiro(a),1,RJ,Rio de Janeiro,52.1,2020-06-01,2021-01-01,Voluntário,Pedido de demissão - remuneração,Desligado
100149,Patrícia Rodrigues,4935bb47c7881837,1987-06-23,Feminino,Branca,Superior Completo,Solteiro(a),0,RS,Porto Alegre,24.4,2019-09-01,2022-02-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100150,Camila Ferreira,da1b6bf39b3abb4f,1990-06-02,Feminino,Preta,Superior Completo,Solteiro(a),1,MG,Belo Horizonte,9.8,2016-01-01,,,,Ativo
100151,Wagner Lima,255d252e416363e8,1980-09-23,Masculino,Amarela,Superior Completo,Solteiro(a),0,MG,Belo Horizonte,21.3,2011-04-01,,,,Ativo
100152,Igor Vieira,4e3a24720c01b040,1981-03-14,Masculino,Preta,Superior Incompleto,Casado(a),0,SP,São Paulo,2.3,2012-05-01,,,,Ativo
100153,Wagner Gomes,3aa6aa0341644cb4,1965-06-24,Masculino,Branca,Pós-graduação,Casado(a),1,SP,São Paulo,16.6,2012-12-01,2021-09-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100154,Alexandre Ferreira,4559b5fb72e7b472,1982-07-21,Masculino,Branca,Ensino Médio,Divorciado(a),0,PR,Curitiba,7.7,2018-01-01,2022-12-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100155,Bruno Rodrigues,a84bdfa84ff31f5b,1988-06-16,Masculino,Branca,Superior Completo,Casado(a),1,PR,Curitiba,16.7,2014-01-01,2023-01-01,Involuntário,Dispensa sem justa causa - fim de projeto,Desligado
100156,Otávio Pereira,2d9da16f3d506faf,1981-12-02,Masculino,Amarela,Superior Completo,Casado(a),1,SC,Florianópolis,20.4,2017-06-01,2024-06-01,Voluntário,Pedido de demissão - motivos pessoais,Desligado
100157,Wagner Jesus,6a391c104d9ad685,1996-07-09,Masculino,Branca,Superior Incompleto,Solteiro(a),2,MG,Belo Horizonte,19.5,2020-07-01,,,,Ativo
100158,Ana Carvalho,af9404dec7714f9f,1968-02-25,Feminino,Parda,Pós-graduação,Divorciado(a),0,BA,Salvador,1.0,2014-09-01,2024-11-01,Involuntário,Dispensa por justa causa,Desligado
100159,Larissa Henriques,e95e7a8b6fb67e72,1982-02-28,Feminino,Amarela,Superior Completo,Casado(a),0,PR,Curitiba,17.9,2020-08-01,2022-05-01,Voluntário,Pedido de demissão - remuneração,Desligado
100160,Karina Martins,3e73f9556f468383,1990-05-19,Não informado,Amarela,Pós-graduação,Solteiro(a),0,SP,São Paulo,11.1,2016-04-01,2022-03-01,Voluntário,Pedido de demissão - remuneração,Desligado
100161,Fernanda Vieira,4f71bca4b8b2d2fe,1982-02-01,Feminino,Parda,Superior Completo,Solteiro(a),0,MG,Belo Horizonte,36.8,2017-05-01,,,,Ativo
100162,Fernanda Carvalho,bedfee698c38a124,1991-02-07,Feminino,Branca,Superior Incompleto,Solteiro(a),0,SP,São Paulo,24.8,2019-12-01,2021-03-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100163,João Santos,c92d4960de643b59,1988-11-09,Masculino,Parda,Ensino Médio,Solteiro(a),0,SP,São Paulo,11.1,2018-04-01,2023-03-01,Involuntário,Dispensa sem justa causa - desempenho,Desligado
100164,Eduarda Queiroz,b1fa7ddfaabb9c50,1973-12-29,Feminino,Parda,Pós-graduação,Casado(a),0,SP,São Paulo,20.6,2018-02-01,,,,Ativo
100165,Eduarda Oliveira,bfb1fd24337d455f,1994-10-15,Feminino,Parda,Superior Completo,Casado(a),1,SC,Florianópolis,29.4,2017-09-01,2022-08-01,Voluntário,Pedido de demissão - remuneração,Desligado
100166,Paulo Lima,617837367b3976f3,1987-10-26,Masculino,Preta,Superior Completo,Casado(a),0,SP,São Paulo,28.9,2016-10-01,2021-03-01,Voluntário,Pedido de demissão - remuneração,Desligado
100167,Rafael Jesus,ed53dbb35859aedb,1983-03-16,Masculino,Branca,Superior Incompleto,Solteiro(a),0,SP,São Paulo,17.1,2012-11-01,2025-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100168,João Jesus,ab85bf39589b2333,1978-01-17,Masculino,Parda,Pós-graduação,Divorciado(a),1,SP,São Paulo,66.8,2018-10-01,,,,Ativo
100169,Ana Ferreira,11309fd1bd1fd8b1,1985-11-22,Feminino,Amarela,Superior Completo,Casado(a),1,SP,São Paulo,16.3,2019-03-01,,,,Ativo
100170,Eduardo Ibrahim,214a3baa16443099,1989-02-14,Masculino,Parda,Ensino Médio,Casado(a),1,RJ,Rio de Janeiro,7.9,2019-10-01,2025-10-01,Involuntário,Dispensa por justa causa,Desligado
100171,Leonardo Oliveira,2c3ff216ef398afe,1992-08-18,Masculino,Branca,Superior Completo,Casado(a),0,SP,São Paulo,20.0,2021-01-01,,,,Ativo
100172,Paulo Martins,80f4f9bdc6092be7,1984-07-06,Masculino,Branca,Superior Completo,Viúvo(a),0,SP,Campinas,1.7,2019-11-01,2023-04-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100173,Eduardo Almeida,d2fa592f9ca78d6f,1987-05-31,Masculino,Amarela,Pós-graduação,Casado(a),0,SP,São Paulo,6.1,2013-07-01,2022-05-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100174,Sérgio Oliveira,e626c4eeb7ec33eb,1984-02-06,Masculino,Parda,Superior Completo,Casado(a),0,SP,São Paulo,24.0,2018-12-01,,,,Ativo
100175,Rafael Martins,e8b5fce76187c0e4,1992-05-21,Masculino,Branca,Superior Incompleto,Solteiro(a),0,SP,São Paulo,10.8,2018-02-01,,,,Ativo
100176,Alexandre Queiroz,6779a261f03e7cde,1976-01-15,Masculino,Branca,Superior Completo,Casado(a),0,BA,Salvador,82.8,2015-10-01,,,,Ativo
100177,Mariana Esteves,acb877f590673072,1989-10-06,Feminino,Branca,Superior Completo,Solteiro(a),0,SP,São Paulo,6.3,2018-06-01,,,,Ativo
100178,Camila Teixeira,033eb8ffc8a47a4c,1976-04-25,Feminino,Branca,Superior Incompleto,Solteiro(a),1,SP,Campinas,9.6,2017-03-01,,,,Ativo
100179,Felipe Teixeira,b71701b8a6876773,1984-11-20,Masculino,Branca,Superior Completo,Solteiro(a),0,RJ,Rio de Janeiro,74.8,2017-08-01,2021-12-01,Voluntário,Pedido de demissão - remuneração,Desligado
100180,Natália Gomes,bbd9803c1dfec2d9,1980-11-25,Feminino,Preta,Superior Completo,Solteiro(a),1,MG,Belo Horizonte,16.7,2020-03-01,2022-11-01,Involuntário,Dispensa sem justa causa - desempenho,Desligado
100181,Sérgio Teixeira,36a2cfb1ec293ad6,1979-07-26,Masculino,Parda,Pós-graduação,Solteiro(a),1,SP,São Paulo,14.9,2018-05-01,,,,Ativo
100182,Henrique Martins,85097e626c2999ef,1994-11-30,Masculino,Branca,Ensino Médio,Casado(a),1,RJ,Rio de Janeiro,45.8,2013-10-01,2025-03-01,Involuntário,Dispensa sem justa causa - fim de projeto,Desligado
100183,Gustavo Ferreira,1a96bf1c46e06461,1991-05-25,Masculino,Não informado,Superior Completo,Solteiro(a),1,SC,Florianópolis,18.4,2019-10-01,2025-02-01,Involuntário,Dispensa sem justa causa - desempenho,Desligado
100184,Thiago Barbosa,b9680bf6d1c219d4,1991-02-23,Masculino,Branca,Pós-graduação,Solteiro(a),1,RJ,Rio de Janeiro,10.1,2019-01-01,2022-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100185,Natália Lima,6bae405526de609f,1992-06-23,Feminino,Parda,Ensino Médio,Divorciado(a),2,SP,São Paulo,9.8,2021-01-01,,,,Ativo
100186,Thiago Gomes,a2f4a01fe64b933c,1982-01-06,Masculino,Parda,Pós-graduação,Casado(a),1,SP,São Paulo,6.0,2015-07-01,2021-05-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100187,Vinícius Queiroz,556777ea086384ff,1989-12-27,Masculino,Parda,Ensino Médio,Solteiro(a),1,MG,Belo Horizonte,7.0,2019-09-01,2021-09-01,Involuntário,Dispensa sem justa causa - fim de projeto,Desligado
100188,Bruno Santos,c119a588accea28b,1989-06-29,Masculino,Branca,Superior Incompleto,Solteiro(a),2,SP,São Paulo,70.8,2020-09-01,2021-01-01,Voluntário,Pedido de demissão - proposta externa,Desligado
100189,Mariana Rodrigues,b9db62b36ce8aa45,1986-11-19,Feminino,Não informado,Superior Completo,Solteiro(a),2,RS,Porto Alegre,24.0,2018-03-01,,,,Ativo
100190,Carlos Barbosa,35e9e5fb19fc9b5c,1978-09-15,Masculino,Parda,Superior Completo,Solteiro(a),1,SP,São Paulo,63.8,2013-12-01,,,,Ativo
100191,Eduarda Ibrahim,96817c9de766f291,1999-06-03,Feminino,Branca,Superior Completo,Casado(a),0,MG,Belo Horizonte,43.2,2020-06-01,2022-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100192,Leonardo Rodrigues,5ce74d3b99a9ed9c,1982-03-20,Masculino,Parda,Ensino Médio,Solteiro(a),3,RJ,Rio de Janeiro,160.0,2019-01-01,2025-02-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100193,Natália Martins,212a8fd09e708ca2,1989-06-19,Feminino,Branca,Pós-graduação,Casado(a),0,PE,Recife,13.7,2021-01-01,2022-07-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100194,Paulo Santos,12f2cd3685d9384e,1986-02-09,Masculino,Parda,Superior Completo,Solteiro(a),1,SP,São Paulo,14.2,2013-02-01,2024-01-01,Voluntário,Pedido de demissão - proposta externa,Desligado
100195,Karina Dias,839794efc0e80d51,1974-06-09,Feminino,Branca,Superior Completo,Casado(a),0,RJ,Rio de Janeiro,8.1,2020-08-01,2021-08-01,Involuntário,Dispensa sem justa causa - desempenho,Desligado
100196,Larissa Henriques,e8faac1db03f212e,1983-11-17,Feminino,Parda,Superior Completo,Solteiro(a),0,PR,Curitiba,14.9,2018-10-01,,,,Ativo
100197,Yasmin Gomes,331fa63ec28a0e67,1989-09-12,Feminino,Branca,Ensino Médio,Solteiro(a),0,RJ,Rio de Janeiro,31.6,2019-07-01,2024-08-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100198,Sérgio Martins,c8ca49657ea9cb9b,1984-02-12,Masculino,Preta,Superior Completo,Solteiro(a),0,SP,São Paulo,12.5,2020-02-01,,,,Ativo
100199,Vinícius Ferreira,d15b80bedfff3d41,1973-11-04,Masculino,Parda,Pós-graduação,Casado(a),1,RJ,Rio de Janeiro,87.7,2018-12-01,,,,Ativo
100200,Ana Almeida,a99d3fb97f9e87f7,1971-04-24,Feminino,Parda,Superior Completo,Casado(a),0,PE,Recife,14.1,2018-08-01,2024-03-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
